region,FOI_median,R0_median,P(R0>=05),P(R0>=07),P(R0>=1),outbreak_risk_calc_values,outbreak_risk_calc_R0_seeded_case
DJI.1_1,7.28E-05,0.8445136,0.9999586,0.946106916,1.24E-04,0.999,0.292
DJI.2_1,1.45E-04,0.8742514,1,0.962016925,7.72E-03,1,0.348
DJI.3_1,7.31E-05,0.9160443,1,0.984007126,1.13E-01,1,0.485
DJI.4_1,7.28E-05,0.8909085,1,0.976673607,2.96E-02,0.951,0.418
DJI.5_1,7.29E-05,0.8323726,0.9999586,0.930549082,0.00E+00,0.999,0.264
SOM.1_1,7.28E-05,0.8194776,0.9998239,0.916834985,0.00E+00,1,0.221
SOM.10_1,1.45E-04,0.8580651,1,0.95481806,1.54E-03,1,0.316
SOM.11_1,6.39E-08,0.8070999,0.9990471,0.899940959,0.00E+00,0.123,0.206
SOM.12_1,4.75E-08,0.7475069,0.9979802,0.751571839,0.00E+00,0.031,0.088
SOM.13_1,4.33E-08,0.6594555,0.9867002,0.21932196,0.00E+00,0.032,0.029
SOM.14_1,1.45E-04,0.8507701,1,0.952218183,4.87E-04,1,0.277
SOM.15_1,2.17E-04,0.8310491,0.9999586,0.929409693,0.00E+00,1,0.249
SOM.16_1,4.38E-08,0.695776,0.9941166,0.476823799,0.00E+00,0.02,0.061
SOM.17_1,7.28E-05,0.6725642,0.9907192,0.316708617,0.00E+00,1,0.037
SOM.18_1,7.28E-05,0.7281417,0.9956496,0.667598894,0.00E+00,1,0.072
SOM.2_1,1.45E-04,0.8392284,0.9999586,0.938897693,4.14E-05,1,0.29
SOM.3_1,7.31E-05,0.8361125,0.9999586,0.934267632,0.00E+00,1,0.238
SOM.4_1,4.53E-08,0.7837136,0.999016,0.859233709,0.00E+00,0.086,0.146
SOM.5_1,1.45E-04,0.8590214,1,0.954900925,1.74E-03,1,0.307
SOM.6_1,6.76E-08,0.8407144,0.9999586,0.941186829,4.14E-05,0.12,0.262
SOM.7_1,2.90E-04,0.9008832,1,0.980174637,4.76E-02,1,0.421
SOM.8_1,1.45E-04,0.8657485,1,0.959624209,3.48E-03,1,0.344
SOM.9_1,2.17E-04,0.8590765,1,0.955128803,2.06E-03,1,0.325
YEM.1_1,7.27E-05,0.8892067,1,0.97611427,2.58E-02,1,0.399
YEM.10_1,7.30E-05,0.5685362,0.8783858,0.021223703,0.00E+00,1,0.004
YEM.11_1,7.28E-05,0.5541252,0.8345193,0,0.00E+00,1,0.008
YEM.12_1,4.05E-08,0.6914232,0.9937437,0.451063257,0.00E+00,0.175,0.039
YEM.13_1,7.28E-05,0.7972614,0.9990471,0.887045151,0.00E+00,1,0.161
YEM.14_1,7.29E-05,0.5863569,0.9183473,0,0.00E+00,1,0.008
YEM.15_1,7.28E-05,0.806752,0.9990471,0.898635841,0.00E+00,1,0.207
YEM.16_1,7.28E-05,0.635831,0.9768911,0.066975337,0.00E+00,1,0.014
YEM.17_1,7.29E-05,0.6857596,0.9931119,0.412696933,0.00E+00,1,0.042
YEM.18_1,7.28E-05,0.59789,0.935407,0.000880437,0.00E+00,1,0.005
YEM.19_1,7.28E-05,0.5044519,0.5313487,0,0.00E+00,1,0.001
YEM.2_1,7.27E-05,0.7154089,0.9950592,0.593839015,0.00E+00,1,0.061
YEM.20_1,7.29E-05,0.6591564,0.9850119,0.229441803,0.00E+00,1,0.031
YEM.21_1,7.30E-05,0.7962422,0.9990471,0.884911387,0.00E+00,1,0.181
YEM.3_1,7.27E-05,0.5135759,0.6125353,0,0.00E+00,1,0.001
YEM.4_1,7.28E-05,0.5986665,0.9373543,0.001180821,0.00E+00,1,0.008
YEM.5_1,7.32E-05,0.883535,1,0.966118724,4.27E-02,1,0.374
YEM.6_1,7.28E-05,0.6616072,0.9874978,0.234372249,0.00E+00,1,0.027
YEM.7_1,2.90E-08,0.7054071,0.9946656,0.528883503,0.00E+00,0.042,0.067
YEM.8_1,7.29E-05,0.6621023,0.9877775,0.238577629,0.00E+00,1,0.028
YEM.9_1,7.27E-05,0.4724822,0.2254643,0,0.00E+00,1,0.001
