"Name","Province","District","Proportion of simulations with zero risk (%)"
"Somalia","Bakool","Rab Dhuure",2
"Somalia","Bari","Qardho",9.33
"Somalia","Bari","Iskushuban",10
"Somalia","Bari","Qandala",10
"Somalia","Bay","Qansax Dheere",12.67
"Somalia","Gedo","Dolow",12.67
"Somalia","Bakool","Ceel Barde",14.67
"Somalia","Gedo","Ceel Waaq",16.67
"Somalia","Bakool","Tiyeeglow",20
"Somalia","Banaadir","Mogadisho",20.67
"Somalia","Jubbada Dhexe","Jilib",21.33
"Somalia","Gedo","Garbahaaray",24
"Djibouti","Djibouti","Djibouti",26.67
"Somalia","Woqooyi Galbeed","Hargeysa",27.33
"Somalia","Bay","Diinsoor",30
"Somalia","Gedo","Beled Xaawo",30
"Somalia","Awdal","Zeylac",33.33
"Somalia","Jubbada Dhexe","Saakow",33.33
"Somalia","Bay","Baydhabo",34.67
"Somalia","Jubbada Hoose","Kismaayo",35.33
