region,aegypti,LC10,logpop,MIR.max,nhps_combined,temp_suit_mean
DJI.1_1,0,0.165363016,4.965286911,0.5024,1,51.531114
DJI.2_1,0,0.378419774,5.043586531,0.8832,2,52.475608
DJI.3_1,1,0.322311828,5.77732617,0.519,1,51.595267
DJI.4_1,0,0.066890106,4.679534536,0.5342,1,52.330716
DJI.5_1,0,0.235641999,5.038917615,0.6126,1,50.725457
SOM.1_1,0,0.064179104,5.914179,0.6516,1,49.62912
SOM.10_1,0,0.894382656,5.770899,0.8167,2,52.105728
SOM.11_1,0,0.301824647,5.939275,0.8554,0,48.403517
SOM.12_1,0,0.059361965,5.67969,0.7381,0,40.17572
SOM.13_1,0,0.03066887,5.820329,0.7519,0,24.527263
SOM.14_1,0,0.841684435,5.797103,0.691,2,51.802004
SOM.15_1,0,0.942580893,6.164581,0.7552,3,50.490426
SOM.16_1,0,0.037871882,5.600662,0.7156,0,31.19165
SOM.17_1,0,0.081488772,5.956033,0.6866,1,26.85869
SOM.18_1,0,0.071535168,6.176324,0.6842,1,36.85246
SOM.2_1,0,0.581277321,5.648738,0.5957,2,51.155162
SOM.3_1,0,0.751116071,6.300218,0.6439,1,50.955199
SOM.4_1,0,0.031292404,5.937348,0.7248,0,45.577075
SOM.5_1,0,0.848614705,5.984428,0.6024,2,52.145846
SOM.6_1,0,0.413480582,5.864763,0.8446,0,51.29973
SOM.7_1,0,0.695398767,5.792835,0.869,4,52.084101
SOM.8_1,0,0.5384241,5.799745,0.7099,2,52.346351
SOM.9_1,0,0.897423642,5.645398,0.7242,3,52.132313
YEM.1_1,0,0.009872242,5.644521,0.485,1,52.369127
YEM.10_1,1,0.1164362,6.201356,0.5943,1,6.66872
YEM.11_1,0,0.3726194,6.358546,0.5606,1,4.779998
YEM.12_1,0,0.01119044,6.539311,0.8198,0,30.378366
YEM.13_1,0,0.1259639,6.010203,0.5731,1,47.247028
YEM.14_1,0,0.7584148,6.442018,0.5684,1,11.040267
YEM.15_1,0,0.09346951,6.013685,0.5905,1,48.338692
YEM.16_1,0,0.000765715,5.619063,0.9154,1,20.100813
YEM.17_1,0,0.5978022,5.504194,0.5621,1,29.261317
YEM.18_1,0,0.05616335,6.015352,0.7684,1,13.236093
YEM.19_1,0,0.2053763,6.412856,0.6255,1,0
YEM.2_1,0,0.01777233,5.871783,0.5926,1,34.642684
YEM.20_1,1,0.000469564,6.119524,0.7674,1,23.179782
YEM.21_1,0,0.4584962,6.433125,0.5007,1,47.100804
YEM.3_1,0,0.04493931,6.046931,0.531,1,0
YEM.4_1,0,0.4230929,5.965017,0.4818,1,13.422889
YEM.5_1,1,0.2267435,6.342797,0.7014,1,52.488841
YEM.6_1,0,0,5.633757,0.9878,1,24.797387
YEM.7_1,0,0.003046875,5.842977,0.7921,0,32.930679
YEM.8_1,0,0.46875,5.59903,0.5656,1,24.903728
YEM.9_1,0,0.05107527,6.002757,0.5334,1,0
